x,y,diameter_pixel,imagePath,realDiameter
369,72,360,example/input\Nikon DS-Ri2\Sample 1\084.tif,528.3240387437631
279,698,360,example/input\Nikon DS-Ri2\Sample 1\084.tif,528.3240387437631
596,741,352,example/input\Nikon DS-Ri2\Sample 1\084.tif,516.5835045494572
952,675,336,example/input\Nikon DS-Ri2\Sample 1\084.tif,493.10243616084557
978,242,352,example/input\Nikon DS-Ri2\Sample 1\084.tif,516.5835045494572
825,224,344,example/input\Nikon DS-Ri2\Sample 1\084.tif,504.8429703551514
1032,312,352,example/input\Nikon DS-Ri2\Sample 1\084.tif,516.5835045494572
909,754,344,example/input\Nikon DS-Ri2\Sample 1\084.tif,504.8429703551514
1158,660,336,example/input\Nikon DS-Ri2\Sample 1\084.tif,493.10243616084557
573,526,344,example/input\Nikon DS-Ri2\Sample 1\084.tif,504.8429703551514
478,416,336,example/input\Nikon DS-Ri2\Sample 1\084.tif,493.10243616084557
1071,720,336,example/input\Nikon DS-Ri2\Sample 1\084.tif,493.10243616084557
240,140,336,example/input\Nikon DS-Ri2\Sample 1\084.tif,493.10243616084557
1062,489,344,example/input\Nikon DS-Ri2\Sample 1\084.tif,504.8429703551514
640,76,336,example/input\Nikon DS-Ri2\Sample 1\084.tif,493.10243616084557
849,490,336,example/input\Nikon DS-Ri2\Sample 1\084.tif,493.10243616084557
537,342,336,example/input\Nikon DS-Ri2\Sample 1\084.tif,493.10243616084557
1098,598,344,example/input\Nikon DS-Ri2\Sample 1\084.tif,504.8429703551514
126,82,328,example/input\Nikon DS-Ri2\Sample 1\084.tif,481.3619019665397
1034,398,336,example/input\Nikon DS-Ri2\Sample 1\084.tif,493.10243616084557
904,196,336,example/input\Nikon DS-Ri2\Sample 1\084.tif,493.10243616084557
752,190,440,example/input\Nikon DS-Ri2\Sample 1\085.tif,645.7293806868215
750,297,416,example/input\Nikon DS-Ri2\Sample 1\085.tif,610.507778103904
159,582,368,example/input\Nikon DS-Ri2\Sample 1\085.tif,540.064572938069
891,381,352,example/input\Nikon DS-Ri2\Sample 1\085.tif,516.5835045494572
558,120,344,example/input\Nikon DS-Ri2\Sample 1\085.tif,504.8429703551514
93,160,344,example/input\Nikon DS-Ri2\Sample 1\085.tif,504.8429703551514
381,316,344,example/input\Nikon DS-Ri2\Sample 1\085.tif,504.8429703551514
621,634,352,example/input\Nikon DS-Ri2\Sample 1\085.tif,516.5835045494572
591,422,344,example/input\Nikon DS-Ri2\Sample 1\085.tif,504.8429703551514
951,214,344,example/input\Nikon DS-Ri2\Sample 1\085.tif,504.8429703551514
345,84,344,example/input\Nikon DS-Ri2\Sample 1\085.tif,504.8429703551514
290,256,344,example/input\Nikon DS-Ri2\Sample 1\085.tif,504.8429703551514
212,466,336,example/input\Nikon DS-Ri2\Sample 1\085.tif,493.10243616084557
498,644,336,example/input\Nikon DS-Ri2\Sample 1\085.tif,493.10243616084557
147,48,336,example/input\Nikon DS-Ri2\Sample 1\085.tif,493.10243616084557
684,578,344,example/input\Nikon DS-Ri2\Sample 1\085.tif,504.8429703551514
726,484,336,example/input\Nikon DS-Ri2\Sample 1\085.tif,493.10243616084557
868,150,336,example/input\Nikon DS-Ri2\Sample 1\085.tif,493.10243616084557
304,675,336,example/input\Nikon DS-Ri2\Sample 1\085.tif,493.10243616084557
