x,y,diameter_pixel,imagePath,realDiameter,sample
369,72,360,example/input\Nikon DS-Ri2\Sample 1\084.tif,528.3240387437631,Sample 1
279,698,360,example/input\Nikon DS-Ri2\Sample 1\084.tif,528.3240387437631,Sample 1
596,741,352,example/input\Nikon DS-Ri2\Sample 1\084.tif,516.5835045494572,Sample 1
952,675,336,example/input\Nikon DS-Ri2\Sample 1\084.tif,493.1024361608456,Sample 1
978,242,352,example/input\Nikon DS-Ri2\Sample 1\084.tif,516.5835045494572,Sample 1
825,224,344,example/input\Nikon DS-Ri2\Sample 1\084.tif,504.8429703551514,Sample 1
1032,312,352,example/input\Nikon DS-Ri2\Sample 1\084.tif,516.5835045494572,Sample 1
909,754,344,example/input\Nikon DS-Ri2\Sample 1\084.tif,504.8429703551514,Sample 1
1158,660,336,example/input\Nikon DS-Ri2\Sample 1\084.tif,493.1024361608456,Sample 1
573,526,344,example/input\Nikon DS-Ri2\Sample 1\084.tif,504.8429703551514,Sample 1
478,416,336,example/input\Nikon DS-Ri2\Sample 1\084.tif,493.1024361608456,Sample 1
1071,720,336,example/input\Nikon DS-Ri2\Sample 1\084.tif,493.1024361608456,Sample 1
240,140,336,example/input\Nikon DS-Ri2\Sample 1\084.tif,493.1024361608456,Sample 1
1062,489,344,example/input\Nikon DS-Ri2\Sample 1\084.tif,504.8429703551514,Sample 1
640,76,336,example/input\Nikon DS-Ri2\Sample 1\084.tif,493.1024361608456,Sample 1
849,490,336,example/input\Nikon DS-Ri2\Sample 1\084.tif,493.1024361608456,Sample 1
537,342,336,example/input\Nikon DS-Ri2\Sample 1\084.tif,493.1024361608456,Sample 1
1098,598,344,example/input\Nikon DS-Ri2\Sample 1\084.tif,504.8429703551514,Sample 1
126,82,328,example/input\Nikon DS-Ri2\Sample 1\084.tif,481.3619019665397,Sample 1
1034,398,336,example/input\Nikon DS-Ri2\Sample 1\084.tif,493.1024361608456,Sample 1
904,196,336,example/input\Nikon DS-Ri2\Sample 1\084.tif,493.1024361608456,Sample 1
752,190,440,example/input\Nikon DS-Ri2\Sample 1\085.tif,645.7293806868215,Sample 1
750,297,416,example/input\Nikon DS-Ri2\Sample 1\085.tif,610.507778103904,Sample 1
159,582,368,example/input\Nikon DS-Ri2\Sample 1\085.tif,540.064572938069,Sample 1
891,381,352,example/input\Nikon DS-Ri2\Sample 1\085.tif,516.5835045494572,Sample 1
558,120,344,example/input\Nikon DS-Ri2\Sample 1\085.tif,504.8429703551514,Sample 1
93,160,344,example/input\Nikon DS-Ri2\Sample 1\085.tif,504.8429703551514,Sample 1
381,316,344,example/input\Nikon DS-Ri2\Sample 1\085.tif,504.8429703551514,Sample 1
621,634,352,example/input\Nikon DS-Ri2\Sample 1\085.tif,516.5835045494572,Sample 1
591,422,344,example/input\Nikon DS-Ri2\Sample 1\085.tif,504.8429703551514,Sample 1
951,214,344,example/input\Nikon DS-Ri2\Sample 1\085.tif,504.8429703551514,Sample 1
345,84,344,example/input\Nikon DS-Ri2\Sample 1\085.tif,504.8429703551514,Sample 1
290,256,344,example/input\Nikon DS-Ri2\Sample 1\085.tif,504.8429703551514,Sample 1
212,466,336,example/input\Nikon DS-Ri2\Sample 1\085.tif,493.1024361608456,Sample 1
498,644,336,example/input\Nikon DS-Ri2\Sample 1\085.tif,493.1024361608456,Sample 1
147,48,336,example/input\Nikon DS-Ri2\Sample 1\085.tif,493.1024361608456,Sample 1
684,578,344,example/input\Nikon DS-Ri2\Sample 1\085.tif,504.8429703551514,Sample 1
726,484,336,example/input\Nikon DS-Ri2\Sample 1\085.tif,493.1024361608456,Sample 1
868,150,336,example/input\Nikon DS-Ri2\Sample 1\085.tif,493.1024361608456,Sample 1
304,675,336,example/input\Nikon DS-Ri2\Sample 1\085.tif,493.1024361608456,Sample 1
520,240,328,example/input\Nikon DS-Ri2\Sample 1\085.tif,481.3619019665397,Sample 1
152,264,328,example/input\Nikon DS-Ri2\Sample 1\085.tif,481.3619019665397,Sample 1
878,300,304,example/input\Nikon DS-Ri2\Sample 1\085.tif,446.14029938362216,Sample 1
478,777,336,example/input\Nikon DS-Ri2\Sample 1\085.tif,493.1024361608456,Sample 1
20,442,336,example/input\Nikon DS-Ri2\Sample 1\085.tif,493.1024361608456,Sample 1
8,684,328,example/input\Nikon DS-Ri2\Sample 1\085.tif,481.3619019665397,Sample 1
140,596,432,example/input\Nikon DS-Ri2\Sample 1\086.tif,633.9888464925157,Sample 1
